Electricity Generation*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,459.0164002,468.5840330000001,496.3976998,506.0157646,498.09258654970483,480.5932424242396,506.9948584795292,518.6268124406096,530.2321611381105,553.0548439663934,557.8686930865186,571.6216013110633,572.3414404863013,561.9913125520447,577.7736449502214,603.8161068624004,587.7546027679467,599.7919546433794,588.2696299697212,598.509646967121,620.479798247672,608.4283100313834,634.1848104611481,635.1004482231485,613.8776750517055,607.0118484563803,638.2813280492533,636.5491305887398,655.6810144223218,652.9525467218878,661.0880212762602,667.1269690044761,669.3438655128534,661.2108918245272,655.695604333316,655.8811111855396,652.4037634792749,664.5352575088749,643.4550980247294,642.5827923691928,660.1819236916529,0.0302028768153888,-0.00013714617436999532,0.020501329975353515
Mexico,96.20753203374971,99.58989530867692,106.1654010730962,112.23082348115835,120.04716093525404,117.59154298884492,128.57117140482066,132.2756645276993,134.64251942191686,146.1275620273452,150.35629869436306,156.59093131168345,166.7484449661148,181.0591201448529,189.9785806379923,203.6280610037465,210.21214204530455,215.7222714883992,224.90308351325578,235.39655602165058,247.97075103170997,256.22496048275775,263.249536043933,269.29974799321764,267.75358299198064,292.15899999999993,302,303.755,311.237,316.17699999999996,322.97519750016176,326.9672761111111,331.38150611111115,339.62971,349.08132,353.22762,358.01291000000003,367.97803999999996,385.1000000000001,388.06654551019176,389.7308334247168,0.007040142094563162,0.018965686301523288,0.012102725219937247
US,2657.1500711257113,2676.11315475525,2772.20526585762,2914.4458146794173,3155.4496791380698,3232.779648759239,3270.7244021134193,3284.3899346073094,3404.677872924596,3458.526080733886,3567.331196667886,3663.3862391670423,3716.377329438841,3855.8083949515126,3936.0977119651766,4052.2531064302543,3984.4678897010317,4111.775538198574,4137.978841606171,4231.682747347144,4322.786632227311,4330.9516407387755,4431.837021165222,4390.106116983962,4206.493360590433,4394.250984818358,4363.377155204782,4310.569202193057,4330.2928875411,4363.281415911234,4349.8660356814335,4348.877284036975,4303.798903898064,4464.500817235857,4414.082648773644,4287.613828814803,4400.900615259557,4537.725857392945,4499.110075161118,4639.002212957076,4772.199425119446,0.031530860392080085,0.00930928895192884,0.14819617382959727
Total North America,3212.3740033594613,3244.287083063927,3374.768366730716,3532.692402760576,3773.5894266230284,3830.9644341723238,3906.2904319977692,3935.2924115756186,4069.552553484624,4157.708486727624,4275.556188448768,4391.598771789789,4455.467214891257,4598.858827648411,4703.84993755339,4859.697274296401,4782.434634514283,4927.289764330353,4951.151555089148,5065.588950335915,5191.237181506693,5195.604911252916,5329.271367670303,5294.506313200328,5088.1246186341195,5293.421833274738,5303.658483254036,5250.873332781797,5297.210901963422,5332.410962633121,5333.929254457856,5342.971529152563,5304.524275522029,5465.3414190603835,5418.85957310696,5296.722560000342,5411.317288738832,5570.239154901819,5527.665173185848,5669.651550836461,5822.1121822358145,0.02970405185740299,0.008795954174167786,0.180800229024888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,45.303728,49.022193,52.11527899999999,52.49951999999999,50.862812999999996,51.004894,53.85426999999999,56.10709699999999,61.86877899999998,65.622035,67.16925399999998,69.75981999999998,72.46246999999998,74.169556,80.74473499999999,88.977961,90.13777079069767,84.59000837209301,92.0594430232558,100.26082099999996,105.750115,113.423565,113.52504191999999,121.90524828000001,122.32601491554225,125.99205328189998,129.48330815,136.03362497514996,139.441423,138.55114649772347,145.4215558511899,147.19282085720954,145.618454,146.773875484766,139.52992245267882,144.6427873384152,153.15191769,145.61899534600002,148.57199171800002,153.229217762,153.3493027176312,0.003525568031085058,0.005322266945473331,0.004762118658027538
Brazil,193.68223389625032,202.12889948686222,203.33147189248922,214.95284833692006,221.7390205087493,222.82011523002677,234.3762971755566,241.76195193832473,252.00312157802523,260.0406103672302,275.6014426953099,291.2455399137768,307.9807828425842,321.74863834462184,334.7262336887574,348.9209387830659,328.55146572964077,345.7226247238453,364.384638,387.4924157120141,403.0827830439113,419.44914720930234,445.14892568056297,463.1715771906199,466.1581230211982,515.7986875907544,531.7582282911961,552.498346209194,570.8346534990893,590.542117779729,581.2279551684527,578.8983088667026,589.3273274006099,601.3964876564366,633.3176363914718,628.7637168445165,656.3963032413353,677.1615627880478,708.1192373802592,751.3354893134392,763.672918010073,0.01920537958310753,0.02767570480460968,0.023715145664421573
Chile,14.040000000000001,14.82,15.637,16.915,17.811,18.398,19.963,22.35,24.013,25.276,28.027,30.791,33.292,35.495,38.384,41.268,43.924,45.491,48.787,49.743068636000004,51.89866535384131,54.80155065701374,58.3059717331907,59.71478161000001,59.70077909,61.332643,65.22276124000001,69.74142329000001,72.96767833000001,71.61637700000001,74.53855406,77.74804821803589,78.60557877760033,82.29984532493667,83.6185178354616,83.71428528443153,87.37844249757184,88.04003800399886,88.99282002830509,90.4859066351546,90.28059466821269,0.0004645157417602075,0.019345346735153424,0.002803579127574909
