Renewables: Renewable power generation (excl hydro)*,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0,0,0,0,0,0,0,0,0,0,0,0.707,1.069,1.1320000000000001,1.345,1.3,1.8980000000000001,2.1390000000000002,2.085,2.337,1.678,1.8659999999999999,2.3129999999999997,2.4859999999999998,3.4779999999999998,3.9559191919191923,3.985919191919192,4.526052632,4.878052632,5.7940526320000005,7.20070790761281,7.596409537285307,8.237166888359386,9.059358985751958,9.118411329679406,9.197463354355932,10.020728148384515,10.473840900843408,10.130083521035113,10.763789473684211,10.73986822966507,11.43211197235513,12.024356682615629,11.802480457203615,15.692708357256778,19.277305369484317,20.974073099415207,23.10611389686337,23.68004385964912,24.7325159702286,39.84852137161084,45.29769184476342,45.96792496544391,47.50488405103668,46.93538118022328,50.24127587453482,52.95978808080808,54.734333514088256,57.35744087187666,65.69762880382775,71.57822700081005,0.09249501145066152,0.06031980302236284,0.011415870684078622
Mexico,0,0,0,0,0,0,0,0,0.161,0.463,0.518,0.579,0.592,0.598,1.0190000000000001,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.126,5.835512475377544,6.369522980958635,6.504760669730794,6.2285254000069115,6.426443480664893,6.1965551543007225,5.901246224556796,6.16058603172409,6.0840013131976365,6.3846451083388045,6.2734970453053185,6.100060368399868,6.976712538701905,7.2908343359468155,8.16551914,7.542386849999998,8.506912840999997,8.170158096,8.170422040777776,9.966739026227225,10.100371408619848,11.613837511304839,12.616472433097599,15.264614593989535,17.926651404741513,19.559128541391765,19.743188623083118,23.10688,34.01281,42.77913,47.52749,47.6773,50.79630498247889,52.49379368114267,54.83855732334018,0.04752954759102246,0.11830092662317826,0.008746093681498977
US,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,19.98969177185428,20.40426480582133,19.754301961701323,22.564753541853655,23.536121862459233,24.67878665730967,25.756037242299385,26.65611631812324,27.37760327329065,26.405048945355972,29.810294113669265,35.607182700809915,36.40945199964598,38.720077251177365,42.67961297377268,42.404126916216306,51.24077698564593,60.646877889420516,64.01077461672078,68.14094648174127,70.43607446512935,70.3386584446096,66.97576619867787,68.63403758106347,69.67402688649226,69.19804372155645,71.52939390906374,72.75109334524501,74.21017169345147,82.84982312663247,83.24326502542405,86.9301121400648,91.33741416896791,100.76441679680872,109.76286708554585,131.10685948023348,149.86827801253258,173.68321202969088,201.90456711574262,228.3172603052482,266.2403230191412,296.77657492822965,315.80752586921847,367.4281844976076,417.72930590111645,451.622957830941,483.6654764912281,547.7097693141945,622.022114832536,717.3408566507178,733.6591245082404,828.3730842317916,926.9398358320043,0.12205407770827814,0.11368637670496828,0.14783581182668123
Total North America,13.332232095652646,14.06200689527286,14.07357074264804,15.546045096175943,16.22706037653718,16.23590253395494,16.58441397358133,18.672978440292397,20.15069177185428,20.867264805821332,20.272301961701324,23.850753541853656,25.197121862459234,26.40878665730967,28.120037242299386,28.87111631812324,30.239603273290648,29.840048945355974,33.24829411366927,39.36818270080992,39.728451999645976,43.98007725117736,49.41061297377268,49.523126916216306,59.39377698564593,69.7287970813397,73.83220628401752,79.0365220946999,81.81888776686016,82.36123647661653,80.60291758695557,82.4270022726495,83.81243999940844,84.4179887390325,86.73180655194078,88.33320180793974,90.50439688714131,99.42372439587575,100.35006108516107,104.98473594969582,110.24280153863299,119.73891561916385,130.29413660916148,151.0794980334371,173.73140841056713,202.92725642540242,232.97901162377767,263.0372117134164,302.53683931188795,336.7737054924478,373.5826986455708,432.28500488376284,483.4404194896435,522.2347218819777,564.6136676714514,640.7301751887294,722.5093929133441,819.7524901648061,841.812870362596,946.564506716762,1053.3566201561546,0.11586956959562422,0.10922300309096178,0.16799777619225884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0,0,0,0,0,0.05624185297637929,0.0589907403828468,0.07602739690295425,0.05997025009025901,0.061003230541860506,0.06399032308213243,0.06096254636795772,0.06400306781713878,0.06397281039215327,0.09498375746953751,0.09901762574698804,0.08701801169100098,0.11497340599597707,0.15497560915428094,0.1149884514727367,0.12000640940096803,0.12399024585055335,0.10598629348245087,0.12296129345947329,0.10600154925112033,0.13302181386516487,0.13100810119984146,0.12998592939502174,0.09599508704859146,0.09900439934269868,0.1190161244001765,0.23263864940158271,0.193350513719326,0.23945125710259713,0.29680697429785313,0.4208222957873164,0.412402250588142,0.6034322019111457,0.9586175395465596,0.9400283475996349,0.988300464042701,1.1160390115864365,1.1325533659084188,1.248074829126637,1.2258433761463772,1.4028006495720933,1.417721300930233,1.8311384963841626,1.9953374477813957,2.11826103031093,2.0953891286288178,1.7386519887968992,2.0896823587212863,2.9380965351811024,7.271315670510942,12.95452375744186,17.39383738968992,19.50315618876744,20.161747738279068,22.76806015834884,26.911374230925325,0.18521752998107877,0.29082425970778525,0.004292042161754195
Brazil,0,0,0,0,0,0.5146915000000002,0.6333952500000001,0.7165701875000001,0.7508003750000001,0.7851518,0.8671775749999999,0.864337725,1.1168454625,1.3319440750000002,1.7760194000000002,1.8055082625,1.8736228750000001,2.1784744749999994,2.9844549499999995,2.8516788875000003,3.067125588592233,3.1939324238673135,3.565697314724919,3.339783794093851,3.403162338511326,3.8590625000000003,3.9996125625,4.929360737945206,4.983937033224442,5.388223648777489,5.593740488958306,6.754709628222037,7.382950998212702,7.510233012160118,8.378002280958722,7.856363000000001,9.057307,10.331146964757709,12.000463,12.576055704810555,13.735977169946164,15.082658984288528,18.72622591999538,20.969257301833977,24.113872126241535,34.118933451935845,35.333809719859126,40.817285976413366,47.552502422401915,59.30551626029046,71.56494040305446,84.90883214777287,96.117176985405,106.31881041921892,117.56107737359113,126.54089677131188,145.04964168996344,166.77977046670986,204.18967363059483,239.7514161417535,265.44846024377387,0.11021540803687824,0.14006073848427714,0.042335852987758604
Chile,0,0,0,0,0,0,0.066,0.057,0.051000000000000004,0.046,0.051000000000000004,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.20800000000000002,0.201,0.195,0.28,0.271,0.327,0.321,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.45,1.375,1.69,1.788,1.702,2.036,1.797,1.438,2.7072000000000003,3.626344456000003,3.470696035600001,3.737803238000003,4.652021742000005,6.39190135470219,7.447838328000005,6.891706169000016,9.040877904999991,11.724319181035908,14.970817784080335,17.86386751497666,19.126712628904407,20.36899932820357,24.951837339337548,30.67873390701502,35.36016376695754,37.86099444316824,40.64726094304466,0.07653335315779963,0.16220320332817684,0.006482751725361206
