Total energy supply per capita*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,
Gigajoule per capita,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,211.76329785359795,219.4536479947419,226.5318877908964,239.46993332815725,248.2386722247219,261.8209551404717,264.71514988538564,278.5633045810807,299.76485343678604,301.88525293179345,294.7198146894548,304.5051922056317,320.0392889847989,319.73207775452227,325.1435873583687,326.82927934951095,316.255335190075,303.17278358581046,295.91395418482756,310.75806743846493,315.8033956480196,314.58590243636854,321.91622368450845,335.66517893223744,338.5713943059274,316.5133692512626,311.3371728855335,315.72778007369277,320.47436989393157,330.90157105567937,335.51977442639173,338.2057747993413,338.1210916996678,333.0271440234725,339.773688129106,345.092570412762,339.4898243644909,346.802650064092,349.16529468749695,353.1045103044616,348.8735080719027,345.6964483284752,355.6662688781337,345.7388375148381,327.5293094226199,331.8460263568851,339.0637803928037,335.25023963773685,341.2320306559461,340.6984332500639,336.9597498027924,329.4146978376513,329.75634826875813,331.9568851923478,326.63017591258875,300.6990924743798,302.05948015524217,306.0090780654085,300.8308550200073,298.91489649366997,300.4282647990008,0.007816470404029774,-0.011409856226939019
Mexico,23.011964050286934,23.45591202199479,23.021254988516983,24.168843465033564,25.752766204142837,26.543408805371467,27.221010862538574,29.262680752095925,30.756056490743894,33.17993758420976,34.764512111094945,35.86976948309002,36.71064650408869,40.79778417483267,44.094484046227024,47.061051882649124,50.207673050523546,51.55867519717076,50.10816326946239,51.17081463212693,52.31457443642193,50.92204892518771,52.09959757722135,51.31148408220373,52.894935011697335,57.94295082994542,59.06732707331609,58.6284233065161,57.46277266295602,60.20991263093167,57.760861831324306,57.97575067955475,58.2485448304923,60.01248665723107,59.18365525010737,60.25066756937315,58.706444752242525,59.81561764430686,59.39537348948795,61.685604572626296,63.798786484927035,64.91732445195542,65.44853543744776,65.97314016686127,64.6841131177908,65.21599179694587,67.10808913008131,66.08590223758011,66.0266222697745,64.34989000623888,65.00303346759569,65.67355792415134,66.2507108639721,64.8005782265687,62.296120419447014,56.36451547855771,58.27412155121628,60.26685286090314,61.24405011531455,60.23741113938982,59.332629633797275,-0.01232168418050672,-0.00908592485094084
US,258.5247688604904,269.75486187857354,275.07853400526704,288.628438208882,299.6328267839116,306.91787918971494,309.0675487032865,321.16098469644254,331.92991894370806,319.73968164440794,308.48186691910524,323.4653344930453,331.01459429472305,333.39711910881323,333.81825336604464,317.71274819258133,305.5990852372917,288.37518957165275,283.90507609478607,296.52295962233785,294.4172913155403,294.3649399283977,303.0787994196962,315.1840563571319,319.0567711540151,316.29370507604847,312.3361796524014,314.1882238793083,316.4651139129821,319.37021177727524,321.58357742889666,328.4833972451404,327.5257037125294,327.48491300023653,330.46127320330174,335.77922280652456,326.1989265841765,326.96363750433807,324.6810190009991,328.3256720215791,325.25619839924315,319.0300545916385,321.1768228988762,309.73768159299215,290.8441929193464,297.9298377445874,290.8661435726276,280.8761053330951,285.7093586001435,285.9943151026508,280.65341940585296,276.8078410608435,274.0596133936475,281.67313679729557,276.9228516605216,253.9064288724912,266.8104928512658,270.02570860472696,265.40864186515614,266.4660666811103,270.1847694212753,0.016733594039540334,-0.0037942305531296627
Total North America,215.63086035963886,224.11535299113268,227.86194362831574,238.42606714046204,246.77817592576525,252.59178315601304,253.7759896420181,263.3329358531833,272.2762025582824,263.10446745707065,253.83456385887072,264.87424383220474,270.8846612054361,272.6099453367691,273.24300525972177,261.78582479402786,252.4305032381952,238.98121600163887,234.49434460481197,244.3279408001291,243.01456285027442,242.1250214301859,248.60732054773288,257.50240479807167,260.3549935839429,257.5257157984882,254.31902124194255,255.53350063837283,256.88743310806814,259.98641880224585,260.9416959987402,265.5961558762334,264.64208625228014,264.3155190593447,266.35224209798133,270.3623066435885,262.76921657422315,263.8868560394394,262.19506330216035,265.34261817879417,263.27229350645365,258.9015736669679,261.05804115279363,252.4705416321933,237.76726075060503,242.83519936118145,238.8701070032867,231.4099128592761,234.96831871878314,234.5869381661857,230.80588154257381,227.81277315010723,226.1455510745972,231.07943360193283,226.82868340199434,207.78899301044862,216.90800583739025,219.76557566854115,216.4419871736391,216.66722980990625,218.95199192401714,0.013313645019906506,-0.005258577694098765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,53.0949223402811,53.99003980315009,54.71996980824412,55.65685513758451,56.70302534753288,52.832363985913595,55.16474944096779,54.997720896460834,56.14051700169823,56.93710303536498,54.66344777406932,56.62327438362598,58.03806204757598,57.03750562311882,59.4690582874933,57.07316384298244,54.468036075585914,54.299362619049525,55.78642334121814,54.77426655696702,53.017425810588705,54.87081797909807,56.4885365985208,58.06785886349587,55.47205624751221,52.79156567384912,53.3957449871414,56.00589987189087,56.266722462807984,58.175389664403696,59.551082706915246,62.495112729342715,61.670495013109665,63.71849815269961,65.05731967633551,62.76094214439063,59.111325643666866,55.9089624562156,60.160069148783585,64.51804388025319,67.40390590693058,69.77219037533737,73.23203783587549,73.45268078839284,69.85046775261719,71.96840598119668,73.73336022770168,76.08956974659257,76.71274163855594,76.0591806772041,76.3215491064996,76.45158119253162,74.53248644991338,73.42286115157135,69.54947346228076,64.70668797726348,70.9871116849792,73.79724183726147,72.56275575394197,69.85385022683174,68.78926486959489,-0.012542209413269667,-0.010336965076114812
Brazil,9.618189199164902,10.204467000900806,10.275674065446962,11.652034082545907,12.451964893843863,14.650657677832935,15.519065176610395,17.374624411231057,20.154807204155606,21.707641196135917,22.109386243033825,23.37086622021023,24.147672599883798,26.031140121989743,27.163685428752284,26.893642289529524,25.088187876111697,25.64086049193983,24.89380617943905,25.798887901837272,27.090691336350712,28.237378354008158,28.521111917901067,28.911153053072383,29.0147231193767,27.957776520419763,28.41279447368714,28.341800446109268,29.148020017008527,30.087307731776676,31.512002077641306,33.104577072346025,34.61863898456183,35.507076256313496,35.57138389739549,36.58442446705837,36.478630288636225,36.381793024773735,36.013032695897074,37.45694172507719,37.82765790570021,38.55838995091845,40.605968978240504,42.86613306997215,41.66780485637883,45.886138480127094,47.17406963435194,48.94412818404386,51.0540242843015,52.456602420455475,51.55550308643584,48.811018712923826,49.04153875171912,48.2020236438108,48.811066726722665,45.791047081915536,48.94929956864184,49.03869826256563,50.09105803381078,51.76160528121396,52.59070844369485,0.018801335273822106,0.0019900276232438507
Chile,25.840810451895834,27.25702504097046,27.286587949322314,27.197452837824173,28.68070637156253,29.73328880469808,31.53689825500282,31.037863820537435,29.517676812123568,28.600906258106175,25.071020416543004,25.655077340095147,26.406434832626005,27.033193892747754,28.249954765027542,28.639717127305747,28.2407417048244,25.264675342955446,25.652699221403488,26.23712867162609,25.617503148964087,26.013934836201557,26.65329981558963,30.210311989767604,34.63459629276101,36.9791315634665,39.28465537573573,41.783434660711016,43.71651333250777,45.75401316961896,48.54453972630318,51.930927643907175,58.753844358832964,59.516640163281814,62.582283748655406,62.65487778833802,62.21504987710606,62.658093934168384,62.73499077495298,67.72050090478174,68.12244783019791,69.20569489992344,70.83186669223333,69.42443875373304,65.30101043017109,67.9252226385864,72.27246004937821,75.19795379454453,76.80400081870005,73.77448076180919,73.29715499325594,77.13571656072116,77.92118951555614,79.19813487700934,78.91723034355618,71.8093980273108,77.59304025918804,79.86584454699411,76.5103893633558,76.08223709796395,76.45363415336959,0.007634621285344423,0.00422516822373975
